Host,Capacity,City,Stadium
Leixoes SC,12.035,Matosinhos,Estádio do Mar
CD Nacional,5.132,Funchal,Estádio do Madeira
SC Braga,30.286,Braga,Estádio Municipal de Braga
FC P.Ferreira,9.077,Pacos de Ferreira,Estádio de Mata Real
Leiria,23.758,Leiria,Estádio Municipal de Leiria
Naval,12.630,Figueira da Foz,Estádio Municipal José Bento Pessoa
SL Benfica,64.642,Lisbon,Estádio do Sport Lisboa e Benfica
Vitoria SC,30.000,Guimaraes,Estádio D.Afonso Henriques
SC Olhanense,11.622,Olhao,Estádio José Arcanjo
A. Academica,29.622,Coimbra,Estádio Cidade de Coimbra
Sporting CP,50.095,Lisbon,Estádio José Alvalade
FC Porto,50.033,Porto,Estádio do Dragao
Maritimo M.,10.600,Funchal,Estádio dos Barreiros
Rio Ave FC,12.815,Villa do Conde,Estádio dos Arcos
Vitoria FC,18.694,Setúbal,Estádio do Bonfim
Os Belenenses,19.980,Lisbon,Estádio do Restelo
Beira-Mar,32.830,Aveiro,Estádio Municipal de Aveiro
Portimonense,9.544,Portimao,Estádio de Portimonense Sporting Clube
Gil Vicente FC,12.374,Barcelos,Estádio Cidade de Barcelos
CD Feirense,5.600,Santa Maria da Feria,Estádio Marcolino de Castro
Estoril Praia,8.000,Estoril,Estádio Antonio Coimbra da Mota
Moreirense FC,6.153,Moreira de Cónegos,Parque de Jogos Comendador
FC Arouca,5.000,Arouca,Estádio Municipal de Arouca
FC Penafiel,6.750,Penafiel,Estádio Municipal 25 de Abril
Boavista FC,28.263,Porto,Estádio do Bessa
