Competition;Date;Round;Host;Visitor;GoalsHHT;GoalsVHT;ResultHT;GoalsHFT;GoalsVFT;ResultFT;Attendance
Liga Sagres;14/08/09;Jornada 1;Leixoes SC;Os Belenenses;0;0;D;0;0;D;3034
Liga Sagres;15/08/09;Jornada 1;CD Nacional;Sporting CP;1;0;H;1;1;D;3877
Liga Sagres;15/08/09;Jornada 1;SC Braga;A. Academica;0;0;D;1;0;H;9402
Liga Sagres;16/08/09;Jornada 1;FC P.Ferreira;FC Porto;1;0;H;1;1;D;4654
Liga Sagres;16/08/09;Jornada 1;Leiria;Rio Ave FC;0;1;A;1;1;D;1808
Liga Sagres;16/08/09;Jornada 1;Naval;SC Olhanense;0;0;D;0;0;D;1807
Liga Sagres;16/08/09;Jornada 1;SL Benfica;Maritimo M.;0;1;A;1;1;D;54103
Liga Sagres;17/08/09;Jornada 1;Vitoria FC;Vitoria SC;0;0;D;0;0;D;3769
Liga Sagres;21/08/09;Jornada 2;SC Olhanense;Leiria;0;0;D;0;0;D;5022
Liga Sagres;22/08/09;Jornada 2;A. Academica;FC P.Ferreira;1;1;D;1;1;D;2202
Liga Sagres;22/08/09;Jornada 2;Sporting CP;SC Braga;0;1;A;1;2;A;24280
Liga Sagres;23/08/09;Jornada 2;FC Porto;CD Nacional;0;0;D;3;0;H;40309
Liga Sagres;23/08/09;Jornada 2;Maritimo M.;Leixoes SC;0;0;D;1;0;H;4000
Liga Sagres;23/08/09;Jornada 2;Rio Ave FC;Vitoria FC;1;0;H;1;0;H;1050
Liga Sagres;23/08/09;Jornada 2;Vitoria SC;SL Benfica;0;0;D;0;1;A;27310
Liga Sagres;24/08/09;Jornada 2;Os Belenenses;Naval;0;0;D;2;0;H;2664
Liga Sagres;29/08/09;Jornada 3;FC P.Ferreira;Vitoria SC;0;0;D;0;0;D;2365
Liga Sagres;29/08/09;Jornada 3;Naval;FC Porto;0;1;A;1;3;A;4261
Liga Sagres;30/08/09;Jornada 3;A. Academica;Sporting CP;0;0;D;0;2;A;9586
Liga Sagres;30/08/09;Jornada 3;Leiria;Maritimo M.;0;0;D;0;0;D;1536
Liga Sagres;30/08/09;Jornada 3;Leixoes SC;Rio Ave FC;0;0;D;0;0;D;3629
Liga Sagres;30/08/09;Jornada 3;SC Braga;Os Belenenses;1;0;H;3;1;H;9823
Liga Sagres;31/08/09;Jornada 3;CD Nacional;SC Olhanense;0;0;D;1;1;D;1926
Liga Sagres;31/08/09;Jornada 3;SL Benfica;Vitoria FC;5;0;H;8;1;H;40915
Liga Sagres;11/09/09;Jornada 4;Vitoria SC;Naval;1;0;H;3;0;H;13810
Liga Sagres;12/09/09;Jornada 4;FC Porto;Leixoes SC;4;0;H;4;1;H;38117
Liga Sagres;12/09/09;Jornada 4;Rio Ave FC;CD Nacional;1;0;H;2;0;H;2117
Liga Sagres;13/09/09;Jornada 4;Maritimo M.;SC Braga;1;1;D;1;2;A;4250
Liga Sagres;13/09/09;Jornada 4;Os Belenenses;SL Benfica;0;1;A;0;4;A;17473
Liga Sagres;13/09/09;Jornada 4;SC Olhanense;A. Academica;2;1;H;2;1;H;3754
Liga Sagres;13/09/09;Jornada 4;Sporting CP;FC P.Ferreira;0;0;D;1;0;H;23319
Liga Sagres;13/09/09;Jornada 4;Vitoria FC;Leiria;0;1;A;0;4;A;3265
Liga Sagres;18/09/09;Jornada 5;Leixoes SC;Vitoria SC;1;1;D;3;1;H;3560
Liga Sagres;19/09/09;Jornada 5;FC P.Ferreira;Rio Ave FC;0;0;D;1;1;D;1680
Liga Sagres;19/09/09;Jornada 5;SC Braga;FC Porto;0;0;D;1;0;H;17215
Liga Sagres;20/09/09;Jornada 5;A. Academica;Os Belenenses;1;0;H;1;1;D;4011
Liga Sagres;20/09/09;Jornada 5;CD Nacional;Maritimo M.;1;0;H;2;1;H;2557
Liga Sagres;20/09/09;Jornada 5;Leiria;SL Benfica;1;1;D;1;2;A;22676
Liga Sagres;20/09/09;Jornada 5;Naval;Vitoria FC;0;1;A;0;1;A;1043
Liga Sagres;21/09/09;Jornada 5;Sporting CP;SC Olhanense;2;2;D;3;2;H;24205
Liga Sagres;25/09/09;Jornada 6;SC Olhanense;SC Braga;0;0;D;0;1;A;5750
Liga Sagres;26/09/09;Jornada 6;FC Porto;Sporting CP;1;0;H;1;0;H;46511
Liga Sagres;26/09/09;Jornada 6;Maritimo M.;Naval;0;1;A;1;2;A;3492
Liga Sagres;26/09/09;Jornada 6;Rio Ave FC;A. Academica;0;0;D;0;0;D;1889
Liga Sagres;26/09/09;Jornada 6;SL Benfica;Leixoes SC;1;0;H;5;0;H;43283
Liga Sagres;26/09/09;Jornada 6;Vitoria FC;FC P.Ferreira;0;1;A;0;1;A;2999
Liga Sagres;28/09/09;Jornada 6;Vitoria SC;Leiria;1;1;D;2;2;D;12131
Liga Sagres;02/10/09;Jornada 7;A. Academica;Maritimo M.;0;2;A;2;4;A;2514
Liga Sagres;03/10/09;Jornada 7;Naval;Rio Ave FC;1;1;D;3;2;H;1137
Liga Sagres;03/10/09;Jornada 7;SC Braga;Vitoria FC;0;0;D;2;0;H;10172
Liga Sagres;04/10/09;Jornada 7;Leixoes SC;Leiria;1;1;D;3;2;H;3193
Liga Sagres;04/10/09;Jornada 7;SC Olhanense;FC Porto;0;2;A;0;3;A;7987
